Id	Lat	Long
Vienne	48.123	16.2213
Brussels	50.5015	4.2141
Sofia	42.4156	23.1922
Bern	46.5647	7.2649
Nicosia	35.1002	33.2224
Praha	50.0454	14.2458
Berlin	52.3033	13.2632
Copenhagen	55.4045	12.3157
Tallinn	59.262	24.4527
Madrid	40.25	-3.4209
Helsinki	60.1034	24.55
Paris	48.502	2.1948
Athens	37.5835	23.4312
Zagreb	45.4828	15.5817
Budapest	47.295	19.0239
Dublin	53.2044	-6.1557
Roma	41.5401	12.281
Vilnius	54.4124	25.1656
Luxembourg	49.3625	6.0801
Riga	56.5623	24.0658
Valletta	35.69	14.63
Amsterdam	52.2227	4.5631
Oslo	59.5302	10.432
Warsaw	52.1407	20.5745
Lisbon	38.4151	-9.0736
Bucharest	44.2502	26.0818
Moscow	55.452	37.3723
Stockholm	59.2234	18.0406
Ljubljana	46.0319	14.3024
Bratislava	48.0749	17.0734
Ankara	39.583	32.5452
London	51.2952	-0.0736
