"Id","Lat","Long","Type"
"node_00",48.259,15.846,"EOCC"
"node_01",47.776,15.895,"EOCC"
"node_02",47.442,16.414,"EOCC"
"node_03",48.067,14.766,"EOCC"
"node_04",47.506,14.744,"EOCC"
"node_05",47.08,15.24,"EOCC"
"node_06",46.973,15.576,"EOCC"
"node_07",46.675,15.547,"EOCC"
"node_08",47.85,13.22,"EOCC"
"node_09",47.44,13.22,"EOCC"
"node_10",46.604,13.963,"EOCC"
"node_11",47.002,13.984,"EOCC"
"node_12",47.16,10.03,"EOCC"
"node_13",47.414,11.605,"EOCC"
"node_14",47.03,11.576,"EOCC"


