"From","To","Length","Capacity","Cost"
"Halifax","Fredericton",273.508683585573,50,1
"Fredericton","Montreal",547.148710118614,50,1
"Montreal","Boston",394.487112736185,50,1
"Boston","NewYork",290.182499766069,50,1
"NewYork","Halifax",948.290561665719,50,1
"Montreal","Ottawa",159.442655190953,50,1
"Ottawa","Toronto",367.090476641165,50,1
"Toronto","NewYork",570.606914526855,50,1
"Toronto","Detroit",337.692157187847,50,1
"Detroit","Chicago",368.117642969536,50,1
"Toronto","ThunderBay",937.90223926373,50,1
"Toronto","Winnipeg",1524.3609624916,50,1
"ThunderBay","Winnipeg",598.206676239117,50,1
"Chicago","Calgary",2290.50516774859,50,1
"Seattle","Chicago",2818.3152265112,50,1
"Winnipeg","Regina",528.689647538114,50,1
"Winnipeg","Saskatoon",713.315253232027,50,1
"Winnipeg","Calgary",1214.53383255358,50,1
"Calgary","Edmonton",259.982102567804,50,1
"Saskatoon","Edmonton",485.031493479973,50,1
"Calgary","Kamloops",440.149817128731,50,1
"Seattle","Vancouver",208.887370711656,50,1
"Vancouver","Kamloops",249.350657477245,50,1
"Vancouver","Victoria",100.815814498568,50,1
"Victoria","Seattle",124.138128025174,50,1
"Regina","Calgary",690.579053843144,50,1


