Id,Lat,Long,Type
Fredericton,45.5735,-66.3825,EOCC
Halifax,44.3845,-63.3425,EOCC
NewYork,40.4524,-73.5921,EOCC
Boston,42.2132,-71.0318,EOCC
Montreal,45.3246,-73.3819,EOCC
Ottawa,45.2522,-75.4152,EOCC
Toronto,43.4009,-79.2309,EOCC
Detroit,42.1946,-83.0248,EOCC
Chicago,41.5243,-87.3732,EOCC
ThunderBay,48.2423,-89.1441,EOCC
Winnipeg,49.5343,-97.0815,EOCC
Regina,50.2648,-104.3701,EOCC
Saskatoon,52.0743,-106.4007,EOCC
Calgary,51.0315,-114.0334,EOCC
Edmonton,53.3224,-113.2927,EOCC
Kamloops,50.4032,-120.2009,EOCC
Vancouver,49.1547,-123.0814,EOCC
Victoria,48.2537,-123.2202,EOCC
Seattle,47.3712,-122.205,EOCC
