"From","To","Length","Capacity","Cost"
"node_00","node_01",177.753126123087,50,1
"node_00","node_02",340.065493434534,50,1
"node_02","node_03",257.68495672165,50,1
"node_03","node_12",459.105751040922,50,1
"node_12","node_11",205.968907922523,50,1
"node_11","node_10",288.497511153155,50,1
"node_10","node_09",241.52538786891,50,1
"node_09","node_08",190.822554442421,50,1
"node_06","node_05",188.868348922415,50,1
"node_05","node_04",338.014410426545,50,1
"node_04","node_01",549.212144087608,50,1
"node_06","node_07",178.106370960881,50,1
"node_07","node_08",296.689393739417,50,1
"node_07","node_15",136.513328749515,50,1
"node_15","node_14",122.796352202612,50,1
"node_14","node_13",218.271096665736,50,1
"node_13","node_16",488.645525571955,50,1
"node_16","node_17",251.187733912431,50,1
"node_17","node_18",276.245831616623,50,1
"node_18","node_19",255.881521635958,50,1
"node_19","node_20",276.928902778937,50,1
"node_20","node_21",257.366333778224,50,1
"node_21","node_22",280.116182432857,50,1
"node_22","node_23",301.68355526103,50,1
"node_23","node_11",605.787398598955,50,1
"node_18","node_32",282.506768814724,50,1
"node_32","node_31",335.49430354682,50,1
"node_31","node_30",310.653357459437,50,1
"node_30","node_29",389.292127921855,50,1
"node_29","node_28",305.190428540461,50,1
"node_28","node_27",421.080421859257,50,1
"node_27","node_26",335.44725134436,50,1
"node_26","node_25",335.778293010795,50,1
"node_25","node_24",350.791009838523,50,1
"node_24","node_22",459.815519153405,50,1
"node_26","node_33",401.642277125001,50,1
"node_33","node_34",453.065985216514,50,1
"node_34","node_35",213.962589191047,50,1
"node_35","node_37",237.840281606674,50,1
"node_37","node_36",307.447316163027,50,1
"node_36","node_38",366.319187376965,50,1
"node_38","node_39",212.097448598192,50,1
"node_39","node_40",336.586990221611,50,1
"node_40","node_41",314.273044690388,50,1
"node_41","node_42",303.887060075636,50,1
"node_42","node_43",266.7685094624,50,1
"node_43","node_29",396.301683594822,50,1
"node_34","node_49",331.130284683682,50,1
"node_49","node_48",223.89450241547,50,1
"node_48","node_47",204.785797135073,50,1
"node_47","node_46",361.689250781949,50,1
"node_46","node_45",378.13775325479,50,1
"node_45","node_44",148.457238793469,50,1
"node_44","node_39",309.486217078531,50,1
"node_46","node_55",289.530896537991,50,1
"node_55","node_54",139.486468261998,50,1
"node_54","node_53",300.706834331804,50,1
"node_53","node_52",231.111429885128,50,1
"node_52","node_51",183.461781747428,50,1
"node_51","node_50",267.298241173082,50,1
"node_50","node_48",322.605865066372,50,1


