"From","To","Length","Capacity","Cost"
"Seattle","Denver",1767.6045079281,50,1
"Denver","Albuquerque",448.064261307576,50,1
"Albuquerque","ElPaso",550.496354708032,50,1
"ElPaso","LosAngeles",1431.47550239949,50,1
"LosAngeles","Sunnyvale",538.775757221276,50,1
"Sunnyvale","Seattle",1077.53070856953,50,1
"ElPaso","Houston",806.094714719453,50,1
"Houston","Tulsa",689.526860913425,50,1
"Tulsa","KansasCity",400.972060497442,50,1
"KansasCity","Denver",862.498213457797,50,1
"Houston","BatonRouge",447.639432099956,50,1
"BatonRouge","Jacksonville",951.279709025735,50,1
"Jacksonville","Atlanta",514.71668922317,50,1
"Atlanta","Raleigh",590.335198782806,50,1
"KansasCity","Chicago",601.198705460105,50,1
"Chicago","Cleveland",510.888491403196,50,1
"Cleveland","Pittsburgh",187.340434815218,50,1
"Pittsburgh","McLean",417.560582655636,50,1
"McLean","Raleigh",284.464667197997,50,1
"McLean","NewYork",352.869009556359,50,1
"NewYork","Cleveland",681.455563595696,50,1
"NewYork","Cambridge",386.529891102974,50,1
"Cambridge","Chicago",1425.99627118813,50,1


