Id,Lat,Long,Type
Frankfurt,50.6641,8.4051,EOCC
Wurzburg,49.4802,9.5516,EOCC
Nuremberg,49.2717,11.0556,EOCC
Stuttgart,48.4625,9.1039,EOCC
Munich,48.0643,11.3503,EOCC
Prague,50.0435,14.2607,EOCC
Brno,49.1133,16.375,EOCC
Bratislava,48.0829,17.0641,EOCC
Vienna,48.1247,16.2248,EOCC
Linz,48.1815,14.172,EOCC
Salzburg,47.44,13.22,EOCC
Traunstein,47.5214,12.3844,EOCC
Innsbruck,47.1546,11.2341,EOCC
Villach,46.3657,13.5055,EOCC
Klagenfurt,46.3725,14.1827,EOCC
Verona,45.2639,11,EOCC
Ljubljana,46.0317,14.3016,EOCC
Graz,47.042,15.2625,EOCC
Budapest,47.3052,19.0314,EOCC
