From,To,Length,Capacity,Cost,Designation,Delay
Bratislava,Trnava,41.6188936988456,50,0,[Bratislava <-> Trnava (1)],FIBER
Selice,Bratislava,46.1394212145439,50,0,[Selice <-> Bratislava (1)],FIBER
Selice,NoveZamky,34.9784427869942,50,0,[Selice <-> NoveZamky (1)],FIBER
NoveZamky,Nitra,36.3327254293027,50,0,[NoveZamky <-> Nitra (1)],FIBER
Nitra,Trnava,38.9630853196604,50,0,[Nitra <-> Trnava (1)],FIBER
Trnava,Piestany,24.9867569347589,50,0,[Trnava <-> Piestany (1)],FIBER
Piestany,NoveMesto,20.8988885386044,50,0,[Piestany <-> NoveMesto (1)],FIBER
NoveMesto,Trenchin,22.2861485641012,50,0,[NoveMesto <-> Trenchin (1)],FIBER
Trenchin,Puchov,18.2409911290676,50,0,[Trenchin <-> Puchov (1)],FIBER
Puchov,Zilina,24.6645881367375,50,0,[Puchov <-> Zilina (1)],FIBER
Zilina,Martin,37.1553905675934,50,0,[Zilina <-> Martin (1)],FIBER
Martin,Rosenberg,29.3346071508114,50,0,[Martin <-> Rosenberg (1)],FIBER
Rosenberg,LNikolaus,21.4671089545742,50,0,[Rosenberg <-> LNikolaus (1)],FIBER
LNikolaus,Poprad,50.6699530388756,50,0,[LNikolaus <-> Poprad (1)],FIBER
Poprad,SCastle,14.394556063209,50,0,[Poprad <-> SCastle (1)],FIBER
SCastle,Presov,50.6888022139095,50,0,[SCastle <-> Presov (1)],FIBER
Presov,Kosice,36.5201447196853,50,0,[Presov <-> Kosice (1)],FIBER
Kosice,Roznava,70.9272354708332,50,0,[Kosice <-> Roznava (1)],FIBER
Roznava,RSobota,30.4560768506004,50,0,[Roznava <-> RSobota (1)],FIBER
RSobota,Lucenec,39.9884576008412,50,0,[RSobota <-> Lucenec (1)],FIBER
Lucenec,Zvolen,47.5927954248482,50,0,[Lucenec <-> Zvolen (1)],FIBER
Zvolen,BBrystica,18.2636520623859,50,0,[Zvolen <-> BBrystica (1)],FIBER
BBrystica,Rosenberg,40.235998499288,50,0,[BBrystica <-> Rosenberg (1)],FIBER
Zvolen,Levice,55.4864380161759,50,0,[Zvolen <-> Levice (1)],FIBER
Levice,NoveZamky,42.2418616886323,50,0,[Levice <-> NoveZamky (1)],FIBER
Zvolen,Prievidza,44.3976049764034,50,0,[Zvolen <-> Prievidza (1)],FIBER
Prievidza,Kostolany,51.9393307164859,50,0,[Prievidza <-> Kostolany (1)],FIBER
Kostolany,Nitra,12.6097109867668,50,0,[Kostolany <-> Nitra (1)],FIBER
