From,To,Length,Capacity,Cost,Designation,Delay
Koper,Ljubljana,100.165198199944,50,0,[Koper <-> Ljubljana (1)],FIBER
Ljubljana,Kranj,24.3136621472108,50,0,[Ljubljana <-> Kranj (1)],FIBER
Kranj,Bled,23.4236612626371,50,0,[Kranj <-> Bled (1)],FIBER
Bled,Tolmin,30.3953335345456,50,0,[Bled <-> Tolmin (1)],FIBER
Tolmin,NovaGorica,24.7359732665446,50,0,[Tolmin <-> NovaGorica (1)],FIBER
NovaGorica,Ajdovscina,32.3368532181994,50,0,[NovaGorica <-> Ajdovscina (1)],FIBER
Ajdovscina,Koper,53.3566652255639,50,0,[Ajdovscina <-> Koper (1)],FIBER
Ljubljana,Celje,61.5770244007412,50,0,[Ljubljana <-> Celje (1)],FIBER
Celje,Velenje,22.1366133805382,50,0,[Celje <-> Velenje (1)],FIBER
Velenje,Dravograd,22.159055076486,50,0,[Velenje <-> Dravograd (1)],FIBER
Dravograd,Maribor,49.6418188273287,50,0,[Dravograd <-> Maribor (1)],FIBER
Maribor,SBistrika,22.9026081902097,50,0,[Maribor <-> SBistrika (1)],FIBER
SBistrika,Celje,24.551409343466,50,0,[SBistrika <-> Celje (1)],FIBER
Celje,Lasko,18.8775317562317,50,0,[Celje <-> Lasko (1)],FIBER
Lasko,Trbovlje,10.7143352948188,50,0,[Lasko <-> Trbovlje (1)],FIBER
Trbovlje,Ljubljana,40.270428376563,50,0,[Trbovlje <-> Ljubljana (1)],FIBER
SBistrika,Krki,64.9341793186089,50,0,[SBistrika <-> Krki (1)],FIBER
Krki,NovoMesto,27.3778482714203,50,0,[Krki <-> NovoMesto (1)],FIBER
NovoMesto,Kosevje,46.0192031964808,50,0,[NovoMesto <-> Kosevje (1)],FIBER
Kosevje,Ljubljana,60.0110455238066,50,0,[Kosevje <-> Ljubljana (1)],FIBER
