"From","To","Length","Capacity","Cost"
"node_00","node_01",339.234896762853,50,1
"node_01","node_02",248.203571564187,50,1
"node_02","node_03",211.993075545544,50,1
"node_03","node_00",757.658044621164,50,1
"node_00","node_04",496.199551911973,50,1
"node_00","node_12",2015.79479284321,50,1
"node_01","node_05",771.421938749641,50,1
"node_02","node_04",400.400513174283,50,1
"node_03","node_05",410.072521846778,50,1
"node_03","node_12",1747.42138746601,50,1
"node_04","node_05",578.836593683699,50,1
"node_05","node_06",1219.12966789337,50,1
"node_06","node_12",545.888210224388,50,1
"node_06","node_07",555.018279429975,50,1
"node_07","node_08",254.425483110151,50,1
"node_08","node_06",437.797103258321,50,1
"node_08","node_09",229.673460260692,50,1
"node_09","node_10",203.996774666368,50,1
"node_10","node_11",184.84055552095,50,1
"node_11","node_06",158.62612740488,50,1
"node_12","node_13",585.162898111352,50,1
"node_12","node_23",232.246018217143,50,1
"node_23","node_13",399.06448692164,50,1
"node_04","node_13",1636.11528222322,50,1
"node_13","node_14",801.082629947455,50,1
"node_14","node_15",1344.34556065139,50,1
"node_14","node_12",1050.30200769456,50,1
"node_12","node_20",1365.35218622339,50,1
"node_06","node_22",622.669664101922,50,1
"node_22","node_21",241.017126189276,50,1
"node_21","node_20",704.03791161214,50,1
"node_20","node_22",849.031629481547,50,1
"node_20","node_19",735.585534273623,50,1
"node_19","node_18",382.589484570341,50,1
"node_18","node_20",695.500310354996,50,1
"node_19","node_17",258.088637456047,50,1
"node_17","node_18",213.085725372719,50,1
"node_18","node_06",1884.68472345943,50,1
"node_17","node_16",384.283887829567,50,1
"node_16","node_15",293.317885546683,50,1


