"Id","Lat","Long","Type"
"node_00",38.256,-120.97,"EOCC"
"node_01",35.297,-120.43,"EOCC"
"node_02",33.74,-117.9,"EOCC"
"node_03",32.77,-115.9,"EOCC"
"node_04",36.965,-115.27,"EOCC"
"node_05",33.361,-111.34,"EOCC"
"node_06",31.96,-98.16,"EOCC"
"node_07",35,-103,"EOCC"
"node_08",31.854,-104.35,"EOCC"
"node_09",30.671,-102.73,"EOCC"
"node_10",30.079,-101.07,"EOCC"
"node_11",31.747,-100.26,"EOCC"
"node_12",36.5,-97.8,"EOCC"
"node_13",41.75,-97.46,"EOCC"
"node_14",41.9,-87.8,"EOCC"
"node_15",42.45,-71.48,"EOCC"
"node_16",41,-74.17,"EOCC"
"node_17",38.3,-77,"EOCC"
"node_18",38.2,-79.5,"EOCC"
"node_19",35.46,-76.1,"EOCC"
"node_20",33,-83.2,"EOCC"
"node_21",29.65,-89.82,"EOCC"
"node_22",30.94,-92.46,"EOCC"
"node_23",38.79,-95.95,"EOCC"


