"Id","Lat","Long","Type"
"Lisboa",38.75,-9.12,"EOCC"
"Madrid",40.44,-3.69,"EOCC"
"Dublin",53.34,-6.25,"EOCC"
"Paris",48.86,2.35,"EOCC"
"Londres",51.48,-0.178,"EOCC"
"Bruxelas",50.84,4.36,"EOCC"
"Amesterdão",52.373,4.894,"EOCC"
"Milão",45.47,9.189,"EOCC"
"Zurique",47.4,8.534,"EOCC"
"Roma",41.89,12.49,"EOCC"
"Praga",50.1,14.46,"EOCC"
"Copenhaga",55.7,12.523,"EOCC"
"Oslo",59.93,10.712,"EOCC"
"Berlim",52.516,13.327,"EOCC"
"Viena",48.2,16.369,"EOCC"
"Zagreb",45.807,15.964,"EOCC"
"Estocolmo",59.255,17.794,"EOCC"
"Atenas",38.02,23.61,"EOCC"
"Moscovo",55.764,37.938,"EOCC"


