Id,Lat,Long,Type
Vienne,48.123,16.2213,EOCC
Brussels,50.5015,4.2141,EOCC
Sofia,42.4156,23.1922,EOCC
Bern,46.5647,7.2649,EOCC
Nicosia,35.1002,33.2224,EOCC
Praha,50.0454,14.2458,EOCC
Berlin,52.3033,13.2632,EOCC
Copenhagen,55.4045,12.3157,EOCC
Tallinn,59.262,24.4527,EOCC
Madrid,40.25,-3.4209,EOCC
Helsinki,60.1034,24.55,EOCC
Paris,48.502,2.1948,EOCC
Athens,37.5835,23.4312,EOCC
Zagreb,45.4828,15.5817,EOCC
Budapest,47.295,19.0239,EOCC
Dublin,53.2044,-6.1557,EOCC
Roma,41.5401,12.281,EOCC
Vilnius,54.4124,25.1656,EOCC
Luxembourg,49.3625,6.0801,EOCC
Riga,56.5623,24.0658,EOCC
Valletta,35.69,14.63,EOCC
Amsterdam,52.2227,4.5631,EOCC
Oslo,59.5302,10.432,EOCC
Warsaw,52.1407,20.5745,EOCC
Lisbon,38.4151,-9.0736,EOCC
Bucharest,44.2502,26.0818,EOCC
Moscow,55.452,37.3723,EOCC
Stockholm,59.2234,18.0406,EOCC
Ljubljana,46.0319,14.3024,EOCC
Bratislava,48.0749,17.0734,EOCC
Ankara,39.583,32.5452,EOCC
London,51.2952,-0.0736,EOCC
