From,To,Length,Capacity,Cost,Designation,Delay
Hamburg,Berlin,247.06009855303,50,1,[Hamburg <-> Berlin (1)],FIBER
Berlin,Hannover,296.639910526493,50,1,[Berlin <-> Hannover (1)],FIBER
Hannover,Hamburg,126.143099936053,50,1,[Hannover <-> Hamburg (1)],FIBER
Hamburg,Bremen,105.542633569769,50,1,[Hamburg <-> Bremen (1)],FIBER
Bremen,Hannover,90.1492187107743,50,1,[Bremen <-> Hannover (1)],FIBER
Bremen,Norden,68.4219829724994,50,1,[Bremen <-> Norden (1)],FIBER
Hannover,Dortmund,126.932925204274,50,1,[Hannover <-> Dortmund (1)],FIBER
Dortmund,Norden,223.161769997163,50,1,[Dortmund <-> Norden (1)],FIBER
Dortmund,Essen,54.3053848243917,50,1,[Dortmund <-> Essen (1)],FIBER
Essen,Dusseldorf,52.6471769501642,50,1,[Essen <-> Dusseldorf (1)],FIBER
Dusseldorf,Koln,62.5194089325116,50,1,[Dusseldorf <-> Koln (1)],FIBER
Koln,Dortmund,107.534410209155,50,1,[Koln <-> Dortmund (1)],FIBER
Koln,Frankfurt,128.718240316413,50,1,[Koln <-> Frankfurt (1)],FIBER
Frankfurt,Hannover,235.075036219423,50,1,[Frankfurt <-> Hannover (1)],FIBER
Hannover,Leipzig,238.106971092839,50,1,[Hannover <-> Leipzig (1)],FIBER
Leipzig,Frankfurt,247.9805041,50,1,[Leipzig <-> Frankfurt (1)],FIBER
Leipzig,Berlin,164.218897983476,50,1,[Leipzig <-> Berlin (1)],FIBER
Frankfurt,Numberg,149.929987574766,50,1,[Frankfurt <-> Numberg (1)],FIBER
Numberg,Leipzig,183.957559184463,50,1,[Numberg <-> Leipzig (1)],FIBER
Numberg,Munich,190.266262663254,50,1,[Numberg <-> Munich (1)],FIBER
Munich,Ulm,108.364965054297,50,1,[Munich <-> Ulm (1)],FIBER
Ulm,Stuttgart,86.0679347881769,50,1,[Ulm <-> Stuttgart (1)],FIBER
Stuttgart,Karlruhe,87.1171847794664,50,1,[Stuttgart <-> Karlruhe (1)],FIBER
Stuttgart,Numberg,230.107900780549,50,1,[Stuttgart <-> Numberg (1)],FIBER
Karlruhe,Mannheim,84.6337287616631,50,1,[Karlruhe <-> Mannheim (1)],FIBER
Mannheim,Frankfurt,103.086084253827,50,1,[Mannheim <-> Frankfurt (1)],FIBER
