"From","To","Length","Capacity","Cost"
"Frankfurt","Wurzburg",155.169196719692,50,1
"Wurzburg","Nuremberg",111.450399101809,50,1
"Nuremberg","Munich",136.141834796815,50,1
"Munich","Stuttgart",172.265437537274,50,1
"Stuttgart","Frankfurt",250.217496989571,50,1
"Innsbruck","Traunstein",95.9017853046409,50,1
"Traunstein","Munich",98.1478702496479,50,1
"Munich","Prague",305.933815755413,50,1
"Traunstein","Salzburg",63.5149029940234,50,1
"Salzburg","Linz",108.988173602986,50,1
"Linz","Vienna",152.579675284078,50,1
"Vienna","Bratislava",62.5642442263347,50,1
"Bratislava","Brno",125.420206944158,50,1
"Brno","Prague",184.413655544358,50,1
"Bratislava","Budapest",170.940535790528,50,1
"Budapest","Vienna",229.132144605549,50,1
"Vienna","Graz",140.522552920531,50,1
"Graz","Ljubljana",134.395469027592,50,1
"Ljubljana","Klagenfurt",39.0280226532103,50,1
"Klagenfurt","Graz",111.122080142727,50,1
"Klagenfurt","Villach",52.0221381232844,50,1
"Villach","Salzburg",121.545672987209,50,1
"Villach","Verona",229.837028834663,50,1
"Verona","Innsbruck",211.24267180687,50,1


