"From","To","Length","Capacity","Cost"
"Glasgow","Edinburgh",73.3826333796445,50,1
"Edinburgh","Newcastle",157.226999680854,50,1
"Newcastle","Dumfries",135.027516363323,50,1
"Dumfries","Glasgow",104.867420521009,50,1
"Newcastle","Sunderland",16.1213544219641,50,1
"Sunderland","Middlesbrough",22.8751585619352,50,1
"Middlesbrough","Bradford",98.777271874099,50,1
"Bradford","Leeds",49.7546969748853,50,1
"Leeds","Sheffield",64.5236475317414,50,1
"Sheffield","Notthingham",74.3659396541734,50,1
"Notthingham","Leicester",21.3314467172924,50,1
"Preston","Dumfries",160.610210489396,50,1
"Preston","Liverpool",40.1989265494231,50,1
"Liverpool","Manchester",29.0290705960146,50,1
"Manchester","Preston",29.1458434527211,50,1
"Manchester","Bradford",57.2483312551079,50,1
"Worcester","Birmingham",46.4996711912483,50,1
"Birmingham","Stoke-on-Trent",59.768928876171,50,1
"Stoke-on-Trent","Manchester",55.4100701307018,50,1
"Birmingham","Coventry",41.9478201877412,50,1
"Coventry","Leicester",25.0828640695156,50,1
"Coventry","Northampton",58.069954860151,50,1
"Northampton","Bedford",105.992087722736,50,1
"Bedford","London",180.650804580157,50,1
"London","Colchester",48.3963716893689,50,1
"Colchester","Norwich",103.348167147334,50,1
"Norwich","Peterborough",89.7733981390851,50,1
"Peterborough","Bedford",82.8235329665118,50,1
"London","Brighton",81.3595054210599,50,1
"London","Reading",36.6399003112636,50,1
"Brighton","Southampton",83.2864150959342,50,1
"Southampton","Plymouth",203.902308464856,50,1
"Plymouth","Exeter",56.0139822016874,50,1
"Exeter","Taunton",51.5185044678476,50,1
"Taunton","Bristol",57.6844194563289,50,1
"Bristol","Reading",123.427721386104,50,1
"Bristol","Worcester",94.8710471000175,50,1
"Worcester","Reading",142.247461634555,50,1
"Worcester","Cardiff",100.593982829173,50,1
"Cardiff","Swansea",34.3429384314357,50,1
"Swansea","Worcester",124.541421475123,50,1


