From,To,Length,Capacity,Cost,Designation,Delay
Seattle,SaltLakeCity,1122.80276564647,50,0,[Seattle <-> SaltLakeCity (1)],FIBER
Seattle,SanFrancisco,1095.1179882271,50,0,[Seattle <-> SanFrancisco (1)],FIBER
SanFrancisco,SanJose,70.5266686938144,50,0,[SanFrancisco <-> SanJose (1)],FIBER
SanJose,LosAngeles,470.715944932311,50,0,[SanJose <-> LosAngeles (1)],FIBER
LosAngeles,LasVegas,310.298054922493,50,0,[LosAngeles <-> LasVegas (1)],FIBER
LasVegas,SaltLakeCity,617.143482109238,50,0,[LasVegas <-> SaltLakeCity (1)],FIBER
SaltLakeCity,SanFrancisco,961.00697728343,50,0,[SaltLakeCity <-> SanFrancisco (1)],FIBER
LosAngeles,Phoenix,593.458533848849,50,0,[LosAngeles <-> Phoenix (1)],FIBER
Phoenix,Houston,1631.58571980234,50,0,[Phoenix <-> Houston (1)],FIBER
Houston,Dallas,365.443926947969,50,0,[Houston <-> Dallas (1)],FIBER
Dallas,KansasCity,728.432693461043,50,0,[Dallas <-> KansasCity (1)],FIBER
KansasCity,SaltLakeCity,1499.07542821935,50,0,[KansasCity <-> SaltLakeCity (1)],FIBER
Houston,Atlanta,1131.1587170798,50,0,[Houston <-> Atlanta (1)],FIBER
Houston,Miami,1558.88540587366,50,0,[Houston <-> Miami (1)],FIBER
Miami,Atlanta,982.829040024842,50,0,[Miami <-> Atlanta (1)],FIBER
Atlanta,AshBurn,927.138070590013,50,0,[Atlanta <-> AshBurn (1)],FIBER
AshBurn,NewYork,279.312931866945,50,0,[AshBurn <-> NewYork (1)],FIBER
NewYork,Chicago,1158.57512227497,50,0,[NewYork <-> Chicago (1)],FIBER
Chicago,KansasCity,656.213514386363,50,0,[Chicago <-> KansasCity (1)],FIBER
