Id	Lat	Long
Frankfurt	50.6641	8.4051
Prague	50.0435	14.2607
Munich	48.0643	11.3503
Zurich	47.2209	8.3217
Brno	49.1133	16.375
Vienna	48.1247	16.2248
Ljubljana	46.0317	14.3016
Milan	45.2748	9.1116
Zagreb	45.4826	15.5752
Bari	41.0733	16.5209
Athens	37.5844	23.43
Istanbul	41.0044	28.5834
Ankara	39.5638	32.5121
Antalya	36.5315	30.4211
Izmir	38.2525	27.0834
Balikesir	39.3907	27.5259
Bursa	40.1141	29.0328
Plovdiv	42.0836	24.4456
Sofia	42.4233	23.1928
Burgas	42.2946	27.2814
Varna	43.1219	27.5427
Constanta	44.1622	28
Bucharest	44.2549	26.0724
Timisoara	45.4519	21.1414
Budapest	47.3052	19.0314
Bratislava	48.0829	17.0641
Lutsk	50.4433	25.1905
Kiev	50.2713	30.3013
Chernihiv	51.3011	31.1736
Kharkov	50.0111	36.0857
Oradea	47.0328	21.5629
Cluj	46.4638	23.3559
Uzhhorod	48.3718	22.184
Lviv	49.5021	24.0201
Dnepropetrousk	48.2656	35.0835
Odessa	46.2728	30.4405
Warsaw	52.1357	21.0038
Berlin	52.311	13.2416
