Id,Lat,Long,Type
Olsztyn,53.78,20.49,EOCC
Gdynia,54.522,18.523,EOCC
Belostok,53.16,23.16,EOCC
Warsaw,52.246,21.033,EOCC
Radom,51.385,21.157,EOCC
Lublin,51.24,22.57,EOCC
Neu_Amerika,51.44,21.98,EOCC
Rzeszow,50.052,21.997,EOCC
Cracow,50.073,19.96,EOCC
Kielce,50.898,20.637,EOCC
Gliwice,50.312,18.659,EOCC
Chestokhov,50.816,19.131,EOCC
Lodz,51.441,19.358,EOCC
Poznan,52.41,16.91,EOCC
Bydgoszcz,53.13,18.03,EOCC
Thorn,53.05,18.6,EOCC
Koszalin,54.21,16.18,EOCC
Szcezin,53.45,14.5,EOCC
ZielonaGora,51.91,15.49,EOCC
Opole,50.67,17.95,EOCC
Wroclaw,51.1,17.03,EOCC
