From,To,Length,Capacity,Cost,Designation,Delay
Bordeaux,Pau,169.87650667524,50,0,[Bordeaux <-> Pau (1)],FIBER
Pau,Toulouse,154.618032095966,50,0,[Pau <-> Toulouse (1)],FIBER
Toulouse,Bordeaux,213.00429807733,50,0,[Toulouse <-> Bordeaux (1)],FIBER
Toulouse,Montpellier,191.33631320585,50,0,[Toulouse <-> Montpellier (1)],FIBER
Montpellier,Marseille,125.045565815721,50,0,[Montpellier <-> Marseille (1)],FIBER
Marseille,Nice,160.54402754937,50,0,[Marseille <-> Nice (1)],FIBER
Nice,Grenoble,210.97875606388,50,0,[Nice <-> Grenoble (1)],FIBER
Grenoble,Lyon,91.7583010911334,50,0,[Grenoble <-> Lyon (1)],FIBER
Lyon,Clermont-Ferrand,136.345451268128,50,0,[Lyon <-> Clermont-Ferrand (1)],FIBER
Clermont-Ferrand,Limoges,139.098345552302,50,0,[Clermont-Ferrand <-> Limoges (1)],FIBER
Limoges,Poitiers,102.016117572182,50,0,[Limoges <-> Poitiers (1)],FIBER
Poitiers,Bordeaux,203.507170805715,50,0,[Poitiers <-> Bordeaux (1)],FIBER
Montpellier,Lyon,251.274618029373,50,0,[Montpellier <-> Lyon (1)],FIBER
Lyon,Dijon,173.177097670361,50,0,[Lyon <-> Dijon (1)],FIBER
Dijon,Besancon,78.5484931006544,50,0,[Dijon <-> Besancon (1)],FIBER
Besancon,Strasbourg,195.226966744538,50,0,[Besancon <-> Strasbourg (1)],FIBER
Strasbourg,Nancy,119.710388012879,50,0,[Strasbourg <-> Nancy (1)],FIBER
Nancy,Reims,172.290620202888,50,0,[Nancy <-> Reims (1)],FIBER
Reims,Paris,130.587297709588,50,0,[Reims <-> Paris (1)],FIBER
Lyon,Paris,393.774088257776,50,0,[Lyon <-> Paris (1)],FIBER
Paris,Poitiers,300.495333184874,50,0,[Paris <-> Poitiers (1)],FIBER
Paris,Compiegne,68.2643562861437,50,0,[Paris <-> Compiegne (1)],FIBER
Compiegne,Lille,139.615932697184,50,0,[Compiegne <-> Lille (1)],FIBER
Lille,Paris,203.910004840551,50,0,[Lille <-> Paris (1)],FIBER
Paris,Rouen,110.775963321513,50,0,[Paris <-> Rouen (1)],FIBER
Rouen,Caen,107.98860059742,50,0,[Rouen <-> Caen (1)],FIBER
Caen,Rennes,154.174104298551,50,0,[Caen <-> Rennes (1)],FIBER
Rennes,Nantes,100.590684823318,50,0,[Rennes <-> Nantes (1)],FIBER
Nantes,Poitiers,167.495938671287,50,0,[Nantes <-> Poitiers (1)],FIBER
Nantes,Angers,80.5942670694966,50,0,[Nantes <-> Angers (1)],FIBER
Angers,LeMans,80.7668294044314,50,0,[Angers <-> LeMans (1)],FIBER
LeMans,Tours,77.9082363159526,50,0,[LeMans <-> Tours (1)],FIBER
Tours,Orleans,107.519237747845,50,0,[Tours <-> Orleans (1)],FIBER
Orleans,Paris,112.584350256717,50,0,[Orleans <-> Paris (1)],FIBER
Poitiers,Orleans,192.585955260878,50,0,[Poitiers <-> Orleans (1)],FIBER
