Id	Lat	Long
Bratislava	48.154	17.129
Trnava	48.375	17.582
NoveZamky	47.988	18.159
Selice	48.143	17.75
Nitra	48.312	18.1
Levice	48.224	18.604
Piestany	48.571	17.747
NoveMesto	48.734	17.888
Trenchin	48.903	18.051
Puchov	49.01	18.24
Zilina	49.192	18.433
Rosenberg	49.082	19.311
Martin	49.072	18.909
Prievidza	48.777	18.621
Kostolany	48.395	18.216
Zvolen	48.573	19.14
BBrystica	48.737	19.147
LNikolaus	49.072	19.605
Poprad	49.052	20.299
Presov	48.998	21.17
SCastle	48.995	20.476
Kosice	48.67	21.16
Roznava	48.387	20.298
RSobota	48.233	19.958
Lucenec	48.189	19.423
