Id	Lat	Long
node_00	47.56	-122.5
node_01	46.06	-123.3
node_02	45.25	-119.6
node_03	43.96	-116.9
node_04	41.269	-121.67
node_05	38.26	-122.2
node_06	36.589	-121.83
node_07	35.244	-120.76
node_08	37.88	-120.27
node_09	39.44	-119.36
node_10	39.655	-116.56
node_11	39.87	-113.2
node_12	41.59	-112.3
node_13	32.55	-116.8
node_14	33.9	-118.5
node_15	34.38	-119.7
node_16	32.39	-111.6
node_17	31.42	-109.2
node_18	31.64	-106.3
node_19	32.823	-103.97
node_20	34.759	-105.85
node_21	36.27	-103.7
node_22	38.63	-104.8
node_23	41.108	-106.23
node_24	40.839	-100.26
node_25	41.27	-96.12
node_26	38.58	-94.34
node_27	35.8	-95.8
node_28	32.02	-95.63
node_29	29.38	-94.77
node_30	28.36	-98.59
node_31	30.46	-100.7
node_32	29.918	-104.13
node_33	37.93	-89.82
node_34	41.65	-87.67
node_35	40.2	-86
node_36	35.94	-87.02
node_37	38.2	-85.03
node_38	32.77	-85.95
node_39	32.93	-83.69
node_40	30.46	-81.64
node_41	30.03	-84.87
node_42	30.4	-88
node_43	30.03	-90.74
node_44	34.38	-80.84
node_45	35.19	-79.55
node_46	37.9	-77
node_47	40.14	-80.03
node_48	41.4	-81.8
node_49	42.67	-83.9
node_50	43.31	-78.85
node_51	43.85	-75.62
node_52	42.83	-73.84
node_53	42.51	-71.05
node_54	40.62	-73.63
node_55	40.03	-75.08
