Id	Lat	Long
node_00	38.256	-120.97
node_01	35.297	-120.43
node_02	33.74	-117.9
node_03	32.77	-115.9
node_04	36.965	-115.27
node_05	33.361	-111.34
node_06	31.96	-98.16
node_07	35	-103
node_08	31.854	-104.35
node_09	30.671	-102.73
node_10	30.079	-101.07
node_11	31.747	-100.26
node_12	36.5	-97.8
node_13	41.75	-97.46
node_14	41.9	-87.8
node_15	42.45	-71.48
node_16	41	-74.17
node_17	38.3	-77
node_18	38.2	-79.5
node_19	35.46	-76.1
node_20	33	-83.2
node_21	29.65	-89.82
node_22	30.94	-92.46
node_23	38.79	-95.95
