"From","To","Length","Capacity","Cost"
"node_12","node_13",122.242312182389,50,1
"node_13","node_14",42.802874189383,50,1
"node_14","node_12",118.051364461874,50,1
"node_00","node_01",41.0901471167876,50,1
"node_01","node_02",53.847559868782,50,1
"node_02","node_00",87.8237045141906,50,1
"node_01","node_06",92.5675970627781,50,1
"node_06","node_05",28.1414156283441,50,1
"node_05","node_07",50.7771188264018,50,1
"node_07","node_06",33.2466689628498,50,1
"node_07","node_00",165.562376003164,50,1
"node_10","node_11",44.3340445543125,50,1
"node_10","node_00",224.336078363978,50,1
"node_11","node_01",167.821026816402,50,1
"node_03","node_04",48.5657846063133,50,1
"node_04","node_01",89.138644455908,50,1
"node_03","node_00",84.0706915299227,50,1
"node_08","node_09",45.6409912251459,50,1
"node_09","node_01",204.20625250423,50,1
"node_08","node_00",200.911365357011,50,1
"node_13","node_00",330.005995934315,50,1
"node_14","node_01",335.794423863493,50,1


