Id	Lat	Long
Fredericton	45.5735	-66.3825
Halifax	44.3845	-63.3425
NewYork	40.4524	-73.5921
Boston	42.2132	-71.0318
Montreal	45.3246	-73.3819
Ottawa	45.2522	-75.4152
Toronto	43.4009	-79.2309
Detroit	42.1946	-83.0248
Chicago	41.5243	-87.3732
ThunderBay	48.2423	-89.1441
Winnipeg	49.5343	-97.0815
Regina	50.2648	-104.3701
Saskatoon	52.0743	-106.4007
Calgary	51.0315	-114.0334
Edmonton	53.3224	-113.2927
Kamloops	50.4032	-120.2009
Vancouver	49.1547	-123.0814
Victoria	48.2537	-123.2202
Seattle	47.3712	-122.205
