"From","To","Length","Capacity","Cost"
"Bruxelas","Amesterdão",206,1,133900
"Zurique","Milão",289,1,187850
"Praga","Viena",295,1,191750
"Paris","Bruxelas",305,1,198250
"Londres","Bruxelas",310,1,201500
"Berlim","Praga",351,1,228150
"Viena","Zagreb",375,1,243750
"Londres","Paris",392,1,254800
"Dublin","Londres",442,1,287300
"Amesterdão","Londres",480,1,312000
"Oslo","Londres",520,1,338000
"Estocolmo","Oslo",531,1,345150
"Milão","Roma",575,1,373750
"Paris","Zurique",599,1,389350
"Oslo","Copenhaga",606,1,393900
"Bruxelas","Zurique",625,1,406250
"Madrid","Lisboa",632,1,410800
"Milão","Zagreb",636,1,413400
"Viena","Berlim",642,1,417300
"Copenhaga","Estocolmo",657,1,427050
"Berlim","Amesterdão",666,1,432900
"Zurique","Praga",714,1,464100
"Copenhaga","Amesterdão",777,1,505050
"Roma","Atenas",783,1,508950
"Milão","Paris",852,1,553800
"Milão","Praga",877,1,570050
"Dublin","Paris",878,1,570700
"Amesterdão","Praga",884,1,574600
"Roma","Zagreb",892,1,579800
"Berlim","Estocolmo",1036,1,673400
"Milão","Berlim",1041,1,676650
"Berlim","Londres",1045,1,679250
"Estocolmo","Moscovo",1191,1,774150
"Paris","Madrid",1280,1,832000
"Zagreb","Atenas",1504,1,977600
"Moscovo","Berlim",1850,1,1202500
"Londres","Lisboa",2151,1,1398150


