"From","To","Length","Capacity","Cost"
"Palermo","Calabria",202.0258184,1,1
"Calabria","Bari",295.2902264,1,1
"Calabria","Naples",312.1302465,1,1
"Palermo","Naples",369.8380717,1,1
"Bari","Naples",193.8734499,1,1
"Pescara","Bari",257.0739987,1,1
"Pescara","Naples",187.2012451,1,1
"Naples","Cagliari",461.1146336,1,1
"Naples","Roma",201.1061446,1,1
"Naples","Florence",235.6701214,1,1
"Bologne","Naples",388.5458251,1,1
"Roma","Florence",106.0266195,1,1
"Roma","Cagliari",334.0549529,1,1
"Milan","Roma",520.1782455,1,1
"Florence","Pescara",136.1705735,1,1
"Florence","Milan",451.1735831,1,1
"Florence","Bologne",159.2776388,1,1
"Bologne","Venice",174.4443767,1,1
"Bologne","Turim",397.582333,1,1
"Bologne","Milan",301.9938508,1,1
"Turim","Milan",143.2785074,1,1
"Milan","Trento",207.8861766,1,1
"Trento","Venice",144.1306692,1,1
"Venice","Milan",316.5091255,1,1
"Genoa","Cagliari",534.3743281,1,1
"Genoa","Turim",135.1847014,1,1
"Genoa","Milan",145.481942,1,1
"Naples","Milan",686.4889991,1,1
"Genoa","Florence",359.5256645,1,1


