From,To,Length,Capacity,Cost,Designation,Delay
Gdynia,Koszalin,155.866653827566,50,0,[Gdynia <-> Koszalin (1)],FIBER
Koszalin,Szcezin,139.0623287062,50,0,[Koszalin <-> Szcezin (1)],FIBER
Szcezin,Poznan,198.868092589402,50,0,[Szcezin <-> Poznan (1)],FIBER
Poznan,Bydgoszcz,110.061118474789,50,0,[Poznan <-> Bydgoszcz (1)],FIBER
Bydgoszcz,Thorn,39.1334504388397,50,0,[Bydgoszcz <-> Thorn (1)],FIBER
Thorn,Gdynia,163.940496209085,50,0,[Thorn <-> Gdynia (1)],FIBER
Gdynia,Olsztyn,152.528065494757,50,0,[Gdynia <-> Olsztyn (1)],FIBER
Olsztyn,Belostok,189.890994932905,50,0,[Olsztyn <-> Belostok (1)],FIBER
Belostok,Warsaw,175.877361115521,50,0,[Belostok <-> Warsaw (1)],FIBER
Warsaw,Poznan,281.050298540699,50,0,[Warsaw <-> Poznan (1)],FIBER
Poznan,ZielonaGora,111.807204269088,50,0,[Poznan <-> ZielonaGora (1)],FIBER
ZielonaGora,Wroclaw,139.69729513671,50,0,[ZielonaGora <-> Wroclaw (1)],FIBER
Wroclaw,Opole,80.4094420841475,50,0,[Wroclaw <-> Opole (1)],FIBER
Opole,Gliwice,64.1048398808448,50,0,[Opole <-> Gliwice (1)],FIBER
Gliwice,Chestokhov,65.2816185147113,50,0,[Gliwice <-> Chestokhov (1)],FIBER
Chestokhov,Lodz,71.3590606776425,50,0,[Chestokhov <-> Lodz (1)],FIBER
Lodz,Warsaw,145.941374312548,50,0,[Lodz <-> Warsaw (1)],FIBER
Gliwice,Cracow,96.4596743301569,50,0,[Gliwice <-> Cracow (1)],FIBER
Cracow,Kielce,103.602394587585,50,0,[Cracow <-> Kielce (1)],FIBER
Kielce,Radom,65.2528270031712,50,0,[Kielce <-> Radom (1)],FIBER
Radom,Warsaw,96.2251587195109,50,0,[Radom <-> Warsaw (1)],FIBER
Radom,Neu_Amerika,57.4684555124818,50,0,[Radom <-> Neu_Amerika (1)],FIBER
Neu_Amerika,Lublin,46.680381704561,50,0,[Neu_Amerika <-> Lublin (1)],FIBER
Lublin,Rzeszow,138.293448910843,50,0,[Lublin <-> Rzeszow (1)],FIBER
Rzeszow,Cracow,145.581793655471,50,0,[Rzeszow <-> Cracow (1)],FIBER
