Id,Lat,Long,Type
Pau,43.28,-0.3905,EOCC
Toulouse,43.58,1.477,EOCC
Bordeaux,44.8,-0.579,EOCC
Montpellier,43.6,3.85,EOCC
Marseille,43.31,5.345,EOCC
Nice,43.67,7.27,EOCC
Grenoble,45.18,5.666,EOCC
Lyon,45.75,4.817,EOCC
Clermont-Ferrand,45.79,3.062,EOCC
Limoges,45.82,1.27,EOCC
Poitiers,46.5,0.383,EOCC
Dijon,47.3,5.01,EOCC
Besancon,47.22,6.043,EOCC
Strasbourg,48.52,7.798,EOCC
Nancy,48.66,6.186,EOCC
Reims,49.26,4.013,EOCC
Paris,48.86,2.33,EOCC
Compiegne,49.386,2.8117,EOCC
Lille,50.63,3.06,EOCC
Rouen,49.43,1.083,EOCC
Caen,49.186,-0.35706,EOCC
Rennes,48.11,-1.677,EOCC
Nantes,47.21,-1.557,EOCC
Angers,47.465,-0.55711,EOCC
LeMans,47.985,0.19507,EOCC
Tours,47.37,0.6912,EOCC
Orleans,47.89,1.899,EOCC
