"From","To","Length","Capacity","Cost"
"node_00","node_09",495.359033901623,50,1
"node_00","node_01",229.395039804914,50,1
"node_00","node_03",493.483776976693,50,1
"node_00","node_08",326.43709048572,50,1
"node_08","node_09",186.492550830186,50,1
"node_01","node_02",154.47421371122,50,1
"node_02","node_03",121.906581236555,50,1
"node_03","node_09",337.861301243179,50,1
"node_05","node_04",147.95344892352,50,1
"node_04","node_03",82.4694047468464,50,1
"node_05","node_09",239.0199286884,50,1
"node_05","node_06",269.08350631822,50,1
"node_06","node_09",536.930465054204,50,1
"node_06","node_10",371.646927295752,50,1
"node_06","node_16",324.259549654291,50,1
"node_16","node_10",279.989569749645,50,1
"node_10","node_11",198.855653174738,50,1
"node_11","node_12",327.19705673134,50,1
"node_12","node_10",512.477368738666,50,1
"node_12","node_17",354.734253516902,50,1
"node_17","node_09",157.587128485876,50,1
"node_12","node_09",436.005172196288,50,1
"node_12","node_13",242.640488857084,50,1
"node_13","node_09",338.809014730698,50,1
"node_15","node_09",809.469585295271,50,1
"node_15","node_14",258.167079826124,50,1
"node_14","node_12",387.945970833267,50,1
"node_10","node_09",323.362359367848,50,1


