"Id","Lat","Long","Type"
"node_00",42.71,-8.787,"EOCC"
"node_01",43.5,-6.18,"EOCC"
"node_02",43.33,-4.284,"EOCC"
"node_03",43.31,-2.779,"EOCC"
"node_04",42.76,-2.31,"EOCC"
"node_05",41.76,-1.539,"EOCC"
"node_06",41.78,2.379,"EOCC"
"node_08",41.45,-4.547,"EOCC"
"node_09",40.36,-3.737,"EOCC"
"node_10",39.14,-0.3078,"EOCC"
"node_11",37.79,-1.802,"EOCC"
"node_12",36.61,-5.182,"EOCC"
"node_13",38.4,-6.75,"EOCC"
"node_14",33.56,-7.243,"EOCC"
"node_15",34.78,-9.627,"EOCC"
"node_16",39.66,2.877,"EOCC"
"node_17",39.16,-2.76,"EOCC"


