"From","To","Length","Capacity","Cost"
"Seattle","San Francisco",1088.148132,1,1
"San Francisco","Los Angelos",563.1064909,1,1
"Los Angelos","Houston",2204.819001,1,1
"San Francisco","Denver",1522.853406,1,1
"Denver","Seattle",1644.909729,1,1
"Denver","Chicago",1477.575072,1,1
"Chicago","Houston",1512.478648,1,1
"Houston","Atlanta",1137.520271,1,1
"Chicago","Cleveland",494.5193334,1,1
"Cleveland","Boston",886.6923675,1,1
"Cleveland","New York",660.8362105,1,1
"New York","Boston",298.2704313,1,1
"New York","Perryman",196.2677075,1,1
"Perryman","Washington",139.1653473,1,1
"Washington","Atlanta",866.6452691,1,1
"Atlanta","Perryman",1005.750874,1,1
"Perryman","Cleveland",552.1193808,1,1


